2013-09-10 12:28:51 Notice: Notice (8): Undefined variable: id_tmp in [/htdocs/public/www/actselector2/app/views/public/products_pillar_list.ctp, line 153]
2013-09-10 12:28:51 Notice: Notice (8): Undefined variable: label_tmp in [/htdocs/public/www/actselector2/app/views/public/products_pillar_list.ctp, line 153]
2013-09-10 12:33:56 Notice: Notice (8): Undefined variable: id_tmp in [/htdocs/public/www/actselector2/app/views/public/products_pillar_list.ctp, line 153]
2013-09-10 12:33:56 Notice: Notice (8): Undefined variable: label_tmp in [/htdocs/public/www/actselector2/app/views/public/products_pillar_list.ctp, line 153]
2013-09-10 12:34:21 Notice: Notice (8): Undefined variable: id_tmp in [/htdocs/public/www/actselector2/app/views/public/products_pillar_list.ctp, line 153]
2013-09-10 12:34:21 Notice: Notice (8): Undefined variable: label_tmp in [/htdocs/public/www/actselector2/app/views/public/products_pillar_list.ctp, line 153]
2013-10-17 10:11:54 Notice: Notice (8): Use of undefined constant URL_CODE_SEPARATOR - assumed 'URL_CODE_SEPARATOR' in [/htdocs/public/www/actselector2/app/views/public/products_pillar_list.ctp, line 120]
2013-10-17 10:13:28 Notice: Notice (8): Use of undefined constant SLUG_PRODUCT_TYPE_PILLAR - assumed 'SLUG_PRODUCT_TYPE_PILLAR' in [/htdocs/public/www/actselector2/app/config/routes.php, line 27]
2013-10-17 10:13:28 Notice: Notice (8): Use of undefined constant SLUG_PRODUCT_TYPE_LINEAR - assumed 'SLUG_PRODUCT_TYPE_LINEAR' in [/htdocs/public/www/actselector2/app/config/routes.php, line 28]
2013-10-17 10:13:28 Notice: Notice (8): Use of undefined constant SLUG_PRODUCT_TYPE_ROTARY - assumed 'SLUG_PRODUCT_TYPE_ROTARY' in [/htdocs/public/www/actselector2/app/config/routes.php, line 29]
2013-10-17 10:13:28 Notice: Notice (8): Use of undefined constant SLUG_PRODUCT_TYPE_CONTROL - assumed 'SLUG_PRODUCT_TYPE_CONTROL' in [/htdocs/public/www/actselector2/app/config/routes.php, line 30]
2013-10-17 10:13:28 Notice: Notice (8): Use of undefined constant SLUG_PRODUCT_COMPARE_SELECT - assumed 'SLUG_PRODUCT_COMPARE_SELECT' in [/htdocs/public/www/actselector2/app/config/routes.php, line 32]
2013-10-17 10:13:28 Notice: Notice (8): Use of undefined constant SLUG_PRODUCT_COMPARE_VIEW - assumed 'SLUG_PRODUCT_COMPARE_VIEW' in [/htdocs/public/www/actselector2/app/config/routes.php, line 33]
2013-10-17 10:13:28 Notice: Notice (8): Use of undefined constant SLUG_PRODUCT_ACCESSORIES - assumed 'SLUG_PRODUCT_ACCESSORIES' in [/htdocs/public/www/actselector2/app/config/routes.php, line 35]
2013-10-30 16:47:03 Notice: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 3 bytes in [/htdocs/public/www/actselector2/cake/libs/cache/file.php, line 176]
2013-11-12 15:15:02 Notice: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 3 bytes in [/htdocs/public/www/actselector2/cake/libs/cache/file.php, line 176]
2014-02-11 17:19:31 Notice: Notice (8): Undefined offset:  38 in [/htdocs/public/www/actselector2/app/controllers/importfiles_controller.php, line 1191]
2014-02-11 17:20:18 Notice: Notice (8): Undefined offset:  38 in [/htdocs/public/www/actselector2/app/controllers/importfiles_controller.php, line 1191]
2014-02-11 17:20:43 Notice: Notice (8): Undefined offset:  38 in [/htdocs/public/www/actselector2/app/controllers/importfiles_controller.php, line 1191]
2014-02-11 17:23:55 Notice: Notice (8): Undefined offset:  38 in [/htdocs/public/www/actselector2/app/controllers/importfiles_controller.php, line 1191]
2014-02-11 17:25:35 Notice: Notice (8): Undefined offset:  38 in [/htdocs/public/www/actselector2/app/controllers/importfiles_controller.php, line 1191]
2014-02-11 17:25:35 Notice: Notice (8): Undefined offset:  38 in [/htdocs/public/www/actselector2/app/controllers/importfiles_controller.php, line 1191]
2014-02-11 17:29:00 Notice: Notice (8): Undefined offset:  38 in [/htdocs/public/www/actselector2/app/controllers/importfiles_controller.php, line 1191]
2014-02-18 10:26:03 Notice: Notice (8): Undefined offset:  6 in [/htdocs/public/www/actselector2/app/controllers/importfiles_controller.php, line 1203]
2014-02-18 10:27:09 Notice: Notice (8): Undefined offset:  6 in [/htdocs/public/www/actselector2/app/controllers/importfiles_controller.php, line 1203]
2014-04-07 15:27:45 Notice: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 3 bytes in [/htdocs/public/www/actselector/cake/libs/cache/file.php, line 176]
2014-04-07 15:27:45 Notice: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 3 bytes in [/htdocs/public/www/actselector/cake/libs/cache/file.php, line 176]
2014-04-09 15:16:40 Notice: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 5433 bytes in [/htdocs/public/www/actselector/cake/libs/cache/file.php, line 176]
2014-05-30 08:03:05 Notice: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 4863 bytes in [/htdocs/public/www/actselector/cake/libs/cache/file.php, line 176]
2014-05-30 08:03:05 Notice: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 5433 bytes in [/htdocs/public/www/actselector/cake/libs/cache/file.php, line 176]
