2013-09-02 11:07:41 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in [/htdocs/public/www/actselector2/cake/libs/model/datasources/dbo/dbo_mysql.php, line 552]
2013-09-02 11:07:41 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector2/cake/libs/model/datasources/dbo/dbo_mysql.php, line 558]
2013-09-02 11:07:41 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector2/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2013-09-02 11:07:41 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector2/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
2013-09-02 11:07:41 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector2/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector2/cake/libs/controller/controller.php, line 742]
2013-09-02 11:07:42 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in [/htdocs/public/www/actselector2/cake/libs/model/datasources/dbo/dbo_mysql.php, line 552]
2013-09-02 11:07:42 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector2/cake/libs/model/datasources/dbo/dbo_mysql.php, line 558]
2013-09-02 11:07:42 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector2/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2013-09-02 11:07:42 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector2/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
2013-09-02 11:07:42 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector2/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector2/cake/libs/controller/controller.php, line 742]
2013-10-17 13:04:35 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector2/cake/basics.php:355) in [/htdocs/public/www/actselector2/cake/libs/controller/controller.php, line 742]
2013-10-30 16:47:05 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector2/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector2/cake/libs/controller/components/request_handler.php, line 759]
